"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "SCSS", "JSON", "Markdown", "YAML", "HTML", "Shell Script", "comment", "blank", "total"
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/components/mainPage/mainPage.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/index.css", "CSS", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 122
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 18
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/index.scss", "SCSS", 0, 0, 0, 123, 0, 0, 0, 0, 0, 3, 20, 146
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/setup.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/michalkopczewski/Documents/Sem3/tinder/front-side/tailwind.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"/Users/michalkopczewski/Documents/Sem3/tinder/server/CurlCommands.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/michalkopczewski/Documents/Sem3/tinder/server/package-lock.json", "JSON", 0, 0, 0, 0, 1260, 0, 0, 0, 0, 0, 1, 1261
"/Users/michalkopczewski/Documents/Sem3/tinder/server/package.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"/Users/michalkopczewski/Documents/Sem3/tinder/server/src/DBActions.js", "JavaScript", 619, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 649
"/Users/michalkopczewski/Documents/Sem3/tinder/server/src/index.js", "JavaScript", 264, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 292
"Total", "-", 1499, 1084, 155, 123, 1343, 38, 2, 20, 2, 344, 350, 4960
